uid,version,timeToCheckout,timeToFirstAddToCart
26131115573,a,113317,7394
36574753540,a,142897,48823
23223155156,b,70603,35844
5342351306,a,137003,57472
30446563530,b,121110,53781
20564260126,a,,1768
30025750175,b,161436,30181
22136141117,b,86953,22460
5510677775,b,134018,38015
13717576557,b,20769,7637
23023124406,a,69150,27737
25754674433,a,90681,49640
30732067341,a,72720,25157
34071537674,b,75210,57523
13451473665,a,119688,26207
1071067222,a,68603,13058
36057415072,a,108226,39513
34702534344,b,46672,15734
3323152175,b,49406,14093
3270372171,a,,21882
23363571774,a,,
5401522403,a,67797,2299
34053534470,a,48925,8878
30214075445,a,17815,2728
7633622447,a,103804,28365
23553604611,a,63694,50664
26200420757,b,,
32323742424,b,146382,46378
166113636,b,78617,20653
24071755370,b,77194,27244
5124442115,a,,
34135647511,a,64263,26007
7432033455,a,58081,7202
27335254424,a,,
6260753465,a,79212,14618
24132363416,a,60018,21075
3406614242,b,98092,32656
31210500355,b,65134,22735
30324444036,b,85557,23169
37601510727,a,69132,16356
5445541355,b,75220,55559
3525046740,b,50096,18685
33141502261,a,,
30555556307,a,74164,29506
12655323177,a,44686,9082
33034156576,b,30646,15565
34717432337,a,72589,22088
23302032304,a,78506,11776
30507322654,b,43051,10524
35127654104,b,151495,82238
37554076321,a,84722,16919
6515320376,b,98609,50136
17760021173,b,132938,63119
26614157703,b,165902,52793
11107107444,b,,
36014126510,a,141590,7205
22732541770,a,95142,11279
14330363015,a,38528,12779
31356532645,b,90882,25537
25127042732,a,64431,17492
15045007442,a,81799,31432
34027714646,b,91563,14299
24413413252,a,,10124
30106747472,b,84773,14878
32304744545,a,,35923
36475347507,b,100082,26539
6353135331,b,,
23774562321,b,126301,42408
24161725451,b,,
3616505161,b,113752,27762
6104212750,b,101247,28698
35055467041,b,,
3700241464,a,34682,6637
16403760642,a,82958,19497
32747642312,b,118452,54525
23234630152,b,64694,29948
3403122320,b,114763,32363
13454164476,b,120266,25835
2256441077,a,84961,44180
1102405711,b,92787,28464
14714731514,a,41554,28242
1747317101,b,77904,18818
31374635467,a,30517,17090
33775003276,b,,
17236467101,b,86079,33186
13317614463,a,,
37364421726,a,61397,18936
27516410201,a,,
32151703736,b,70177,14939
502022430,b,72801,22533
23421414071,a,,3572
22243747441,a,65168,13503
22332643322,a,73098,43278
7027665453,a,81582,37517
7352462177,b,161004,25520
14520201126,b,23982,21535
27371024530,b,89509,29077
21576226335,b,54139,16892
6116635560,a,56687,23635
6442146605,b,57538,23973
14477775131,b,57840,31149
7552347442,a,76869,22649
24746424716,a,33302,12524
15720315315,b,118552,52318
10150415650,a,112905,18698
36371757724,a,59559,32895
31403242617,a,91118,49320
13777577525,a,123883,15892
2020254206,a,70373,23866
3450566174,a,37540,11356
13172100056,b,77593,37558
17714213400,b,,33613
22221425425,b,108799,43397
12617060252,b,40482,15697
32263217137,a,,
32577754760,a,103092,30393
31735410061,a,,
221442121,a,85200,16919
6577637174,b,,3884
32340567005,a,109150,14437
35422316653,a,84216,11808
24066124013,b,66691,22976
25361026242,b,,
24174320707,b,130246,54459
6220067662,b,77800,44452
2701225773,a,69438,17852
121402371,b,42637,21391
1727700703,a,63977,30061
30277527734,a,68730,7099
3271011241,a,98541,20360
1745554154,b,50641,43545
6120050343,b,59458,35721
25347331742,b,80234,35584
10715267661,b,121318,28224
20636101631,b,45460,7911
36477611340,a,73554,60927
23412603713,b,79300,19125
13446060215,b,110469,21970
10262370027,b,,
1771121003,a,,
6226776442,b,57702,21471
11425650767,a,144249,58638
31305065565,b,121546,41642
23370406030,a,72233,22302
37332113021,a,79991,39385
5136236473,a,42814,3517
30367647236,a,78053,35413
10526360276,b,77271,24345
32131720601,a,80349,30207
13053575251,b,51324,9144
17250517553,a,78992,30244
32777301727,b,173721,62321
21365506374,a,51885,12283
515543376,a,,
23702253201,a,88739,25025
11006112442,b,,19476
10554204636,b,67131,20085
25175033750,b,156098,68784
1436766762,a,,52303
35607065527,a,48251,28445
14256167637,b,63363,21659
13575022507,b,66199,26975
33244511505,a,39092,21021
1172160704,a,83949,7407
10123323001,a,83012,9049
1601247661,b,125973,78452
25323633662,a,100878,68283
35264450763,a,56268,18670
31411350561,a,88434,29036
34472414051,a,51742,10842
6153001506,a,,
26472103057,b,116576,73629
16252226023,a,59332,7240
17774127040,a,107595,11353
13322657506,b,114144,23672
15102313004,b,53731,16692
27742421564,b,52149,12978
37622143761,b,103686,18207
23411251712,b,,
3303246644,a,,11434
32474462660,b,92601,44904
12464544464,b,51879,19549
15710110631,a,57513,14446
27225223314,a,,
10662535054,b,32165,18934
26110434103,a,97136,40518
24507224204,b,71910,31715
25714161625,b,73109,31203
21000601221,a,66438,32194
21066210427,b,116312,27163
12053030672,a,74123,16261
27335547633,a,86711,30193
16760056736,a,60453,15297
13340353365,a,,
30346300315,a,99721,5847
25740237527,a,111533,10157
25441736434,a,68596,11182
12064532003,a,60064,24300
25616667243,a,236283,45761
30053357457,a,54436,18126
2424025504,a,123317,49315
30011303704,a,,
17130247035,b,77255,32202
5271226313,b,96865,51333
13271557631,a,,15485
15714467025,b,,
23735603342,a,36179,9314
20141242426,b,113469,40924
7462455307,b,88608,12826
5356616326,a,54071,21967
44243423,a,71519,26388
33106127523,a,77968,33054
22357555436,a,47731,2747
25326117147,b,134057,49364
16341577563,b,120612,40717
35704615470,b,71886,29103
34663106502,b,93538,16899
2372653710,a,79341,10241
7035356500,a,83892,35035
31554727126,a,97567,62916
32765661727,a,,
34230434270,b,68619,19927
10400347704,b,81696,20143
27177604051,b,86571,21289
36701122415,a,87282,6734
25435701563,b,113404,46107
17067575070,b,113737,41943
15153333334,b,117565,20417
12305113273,b,33889,30152
21404740243,a,92273,37646
30633752315,a,50987,20489
15645200726,b,86500,53045
5210241013,b,74994,21112
23751172370,a,26334,8854
23523641073,b,127947,36448
25421150065,a,52128,29465
10426366410,b,32393,4756
22160577603,b,36039,8762
27417425022,b,,
2646425056,b,58305,21908
11665320564,a,,9537
14110152551,b,35052,29425
30524635214,a,14209,2160
32272635652,a,129964,56919
31211776747,b,69255,13181
37441415516,b,36097,21370
25727243026,b,76003,12257
33641460736,a,61923,12930
31372274242,b,111900,29917
5437062454,a,48557,11375
30617132406,b,25513,7734
4524344016,a,106634,23168
23303025407,b,,13437
34746251635,b,145852,130929
27623137606,a,74630,41237
7163474246,b,92457,47174
5462503515,a,106823,11384
6243405316,a,,24069
25176674223,a,133283,21493
17757013603,b,93931,41830
14760772171,a,69729,47345
13037173332,b,,
7776007131,a,,
30030734774,a,80028,13328
24765527757,b,47737,12626
3215645407,b,43868,17586
5270536672,b,82714,25019
1527434410,b,68894,32983
3351404550,b,74034,27134
5064260364,b,67617,34904
37761627567,b,112455,46476
20645574227,a,104256,27732
23447330232,b,125016,31385
35377025756,b,82614,50999
21441530003,b,48477,5380
33640714356,b,120449,19520
31555031712,a,27216,7496
24302306014,a,90092,26443
3046351564,b,81348,8033
26166055313,b,,30349
30570113151,b,74959,13961
5543323621,a,,24451
32235652724,b,69289,10885
21156441011,a,85601,39890
1212440144,a,,15905
30714105061,a,40528,4062
27000454705,a,128247,49028
14265616643,a,50064,22566
26632354314,b,,11227
12651744023,a,127767,20237
6717746013,b,93297,25879
2206524377,a,,10645
35724141402,a,81585,9705
24202067544,b,,
4443012703,b,,9348
11053735706,b,94320,57185
30032610126,a,69899,43180
30157775536,a,47115,21689
23160513623,b,22525,18179
27106525745,a,47458,4395
16417045516,b,105834,56688
16120671665,a,46711,5846
5127633237,a,85321,10638
13224752432,b,161076,76994
3360360431,b,121068,52180
24305424033,a,,46194
21523006126,b,59698,21997
37314162671,b,,
37022457665,a,46161,11470
4512040325,b,,
32615402622,a,27501,9322
6551437105,b,77334,43077
7730747067,a,42494,17513
22103036321,b,88323,41974
6331032412,b,106102,37150
27246717246,a,111682,15232
1126322301,a,69268,26619
23154203413,b,55730,24746
36554357054,a,,26506
11710466303,a,100322,26705
32061004231,b,184910,28207
23543476413,b,110057,23925
16121427002,b,,161312
36032005471,a,74252,7042
13653046256,a,58880,13871
34735761125,b,,19456
27314044641,b,66572,19325
10003075462,b,87354,21850
521416064,a,,
